question,source,sql
What is the best place in city_name0 for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Give me the best place in city_name0 for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Where is the best food_type0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Give me the best food_type0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Where is the best food_type0 restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Give me the best restaurant in city_name0 for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Give me the best food_type0 restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
What is the best restaurant in city_name0 for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Where is the best restaurant in city_name0 for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
where is name0 in the region0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM GEOGRAPHIC AS GEOGRAPHICalias0 , LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE GEOGRAPHICalias0.REGION = ""region0"" AND RESTAURANTalias0.CITY_NAME = GEOGRAPHICalias0.CITY_NAME AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.NAME = ""name0"" ;"
where is name0 in the region0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM GEOGRAPHIC AS GEOGRAPHICalias0 , LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE GEOGRAPHICalias0.REGION = ""region0"" AND RESTAURANTalias0.CITY_NAME = GEOGRAPHICalias0.CITY_NAME AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.NAME = ""name0"" ;"
where is name0 in the region0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM GEOGRAPHIC AS GEOGRAPHICalias0 , LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE GEOGRAPHICalias0.REGION = ""region0"" AND RESTAURANTalias0.CITY_NAME = GEOGRAPHICalias0.CITY_NAME AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.NAME = ""name0"" ;"
what are some good restaurants on street_name0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND LOCATIONalias0.STREET_NAME = ""street_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
give me some good restaurants on street_name0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND LOCATIONalias0.STREET_NAME = ""street_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
give me a good restaurant on street_name0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND LOCATIONalias0.STREET_NAME = ""street_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
what is a good restaurant on street_name0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND LOCATIONalias0.STREET_NAME = ""street_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
what are some good restaurants on street_name0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND LOCATIONalias0.STREET_NAME = ""street_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
give me some good restaurants on street_name0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND LOCATIONalias0.STREET_NAME = ""street_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
give me a good restaurant on street_name0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND LOCATIONalias0.STREET_NAME = ""street_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
what is a good restaurant on street_name0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND LOCATIONalias0.STREET_NAME = ""street_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
what are some good restaurants on street_name0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND LOCATIONalias0.STREET_NAME = ""street_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
give me some good restaurants on street_name0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND LOCATIONalias0.STREET_NAME = ""street_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
give me a good restaurant on street_name0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND LOCATIONalias0.STREET_NAME = ""street_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
what is a good restaurant on street_name0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND LOCATIONalias0.STREET_NAME = ""street_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
where can we find a restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
give me a restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
where can we find some restaurants in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
where is a restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
give me some restaurants in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
where can we find a restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
give me a restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
where can we find some restaurants in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
where is a restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
give me some restaurants in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
where can we find a restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
give me a restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
where can we find some restaurants in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
where is a restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
give me some restaurants in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
give me some restaurants good for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
where are some restaurants good for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
give me some restaurants good for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
where are some restaurants good for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
give me some restaurants good for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
where are some restaurants good for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING > 2.5 ;"
how many places for food_type0 food are there in city_name0 ?,restaurants,"SELECT COUNT( * ) FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
how many food_type0 restaurants are there in city_name0 ?,restaurants,"SELECT COUNT( * ) FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
how many food_type0 restaurant are there in city_name0 ?,restaurants,"SELECT COUNT( * ) FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
how many places for food_type0 are there in city_name0 ?,restaurants,"SELECT COUNT( * ) FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
how many places for food_type0 food are there in city_name0 ?,restaurants,"SELECT COUNT( * ) FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
how many food_type0 restaurants are there in city_name0 ?,restaurants,"SELECT COUNT( * ) FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
how many food_type0 restaurant are there in city_name0 ?,restaurants,"SELECT COUNT( * ) FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
how many places for food_type0 are there in city_name0 ?,restaurants,"SELECT COUNT( * ) FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
how many places for food_type0 food are there in city_name0 ?,restaurants,"SELECT COUNT( * ) FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
how many food_type0 restaurants are there in city_name0 ?,restaurants,"SELECT COUNT( * ) FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
how many food_type0 restaurant are there in city_name0 ?,restaurants,"SELECT COUNT( * ) FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
how many places for food_type0 are there in city_name0 ?,restaurants,"SELECT COUNT( * ) FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
how many food_type0 restaurants are in the county0 ?,restaurants,"SELECT COUNT( * ) FROM GEOGRAPHIC AS GEOGRAPHICalias0 , RESTAURANT AS RESTAURANTalias0 WHERE GEOGRAPHICalias0.COUNTY = ""county0"" AND RESTAURANTalias0.CITY_NAME = GEOGRAPHICalias0.CITY_NAME AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" ;"
how many food_type0 restaurants are in the county0 ?,restaurants,"SELECT COUNT( * ) FROM GEOGRAPHIC AS GEOGRAPHICalias0 , RESTAURANT AS RESTAURANTalias0 WHERE GEOGRAPHICalias0.COUNTY = ""county0"" AND RESTAURANTalias0.CITY_NAME = GEOGRAPHICalias0.CITY_NAME AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" ;"
how many food_type0 restaurants are in the county0 ?,restaurants,"SELECT COUNT( * ) FROM GEOGRAPHIC AS GEOGRAPHICalias0 , RESTAURANT AS RESTAURANTalias0 WHERE GEOGRAPHICalias0.COUNTY = ""county0"" AND RESTAURANTalias0.CITY_NAME = GEOGRAPHICalias0.CITY_NAME AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" ;"
where can i eat food_type0 food in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID ;"
